Id,Label,timeset,modularity_class
1552,1552,,2
1553,1553,,1
1554,1554,,2
1555,1555,,2
1556,1556,,1
1557,1557,,1
1558,1558,,1
1559,1559,,2
1560,1560,,1
1561,1561,,1
1562,1562,,1
1563,1563,,1
1564,1564,,2
1565,1565,,2
1566,1566,,2
1567,1567,,1
1568,1568,,2
1569,1569,,1
1570,1570,,1
1571,1571,,1
1572,1572,,1
1573,1573,,1
1574,1574,,2
1575,1575,,2
1576,1576,,1
1577,1577,,1
1578,1578,,2
1579,1579,,1
1580,1580,,1
1581,1581,,1
1582,1582,,2
1583,1583,,2
1584,1584,,1
1585,1585,,1
1586,1586,,2
1587,1587,,1
1588,1588,,1
1589,1589,,2
1590,1590,,1
1591,1591,,2
1592,1592,,2
1593,1593,,1
1594,1594,,1
1595,1595,,1
1596,1596,,1
1597,1597,,1
1598,1598,,1
1599,1599,,2
1600,1600,,2
1601,1601,,2
1602,1602,,2
1603,1603,,1
1604,1604,,1
1605,1605,,1
1606,1606,,1
1607,1607,,2
1608,1608,,1
1609,1609,,1
1610,1610,,1
1611,1611,,4
1612,1612,,1
1613,1613,,2
1614,1614,,2
1615,1615,,1
1616,1616,,1
1617,1617,,1
1618,1618,,1
1619,1619,,1
1620,1620,,1
1621,1621,,1
1622,1622,,1
1623,1623,,1
1624,1624,,1
1625,1625,,1
1626,1626,,1
1627,1627,,1
1628,1628,,2
1629,1629,,1
1630,1630,,1
1631,1631,,2
1632,1632,,1
1633,1633,,1
1634,1634,,1
1635,1635,,1
1636,1636,,1
1637,1637,,2
1638,1638,,1
1639,1639,,1
1640,1640,,1
1641,1641,,1
1642,1642,,2
1643,1643,,1
1644,1644,,1
1645,1645,,1
1646,1646,,1
1647,1647,,1
1648,1648,,1
1649,1649,,1
1650,1650,,1
1651,1651,,1
1652,1652,,1
1653,1653,,2
1654,1654,,1
1655,1655,,2
1656,1656,,1
1657,1657,,2
1658,1658,,2
1659,1659,,2
1660,1660,,2
1661,1661,,1
1662,1662,,2
1663,1663,,4
1664,1664,,1
1665,1665,,2
1666,1666,,2
1667,1667,,1
1668,1668,,1
1669,1669,,2
1670,1670,,2
1671,1671,,1
1672,1672,,2
1673,1673,,1
1674,1674,,2
1675,1675,,1
1676,1676,,1
1677,1677,,1
1678,1678,,1
1679,1679,,1
1680,1680,,2
1681,1681,,2
1682,1682,,1
1683,1683,,2
1684,1684,,1
1685,1685,,2
1686,1686,,1
1687,1687,,2
1688,1688,,1
1689,1689,,1
1690,1690,,2
1691,1691,,2
1692,1692,,2
1693,1693,,1
1694,1694,,1
1695,1695,,2
1696,1696,,1
1697,1697,,1
1698,1698,,1
1699,1699,,1
1700,1700,,1
1701,1701,,1
1702,1702,,1
1703,1703,,1
1704,1704,,1
1705,1705,,1
1706,1706,,1
1707,1707,,2
1708,1708,,2
1709,1709,,1
1710,1710,,1
1711,1711,,1
1712,1712,,1
1713,1713,,4
1714,1714,,2
1715,1715,,2
1716,1716,,1
1717,1717,,1
